,title,handle,created,product_type,price,sku,available,image
0,HELM Shop Rag,helmcloth,2013-10-09T15:28:44-05:00,Accessories,5.00,10284,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-accessories-indigo-helm-shop-rag-28555588272190.jpg?v=1628016172
1,HELM Socks - Black+Grey,helm-socks-black-anthricite,2019-09-18T14:00:45-05:00,Socks,12.50,HB2LG-D,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-socks-black-grey-12867148644414.jpg?v=1571417745
2,HELM Marled Socks - Indigo,helm-marled-socks-indigo,2019-09-18T13:54:39-05:00,Socks,15.00,HB3LG-A,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-socks-helm-marled-socks-indigo-12867142746174.jpg?v=1570026691
3,Route Package Protection,routeins,2021-08-26T14:26:09-05:00,Insurance,0.98,ROUTEINS,True,https://cdn.shopify.com/s/files/1/0048/2912/products/route-insurance-route-package-protection-28617463365694.png?v=1630006236
4,Route Package Protection,routeins,2021-08-26T14:26:09-05:00,Insurance,1.15,ROUTEINS,True,https://cdn.shopify.com/s/files/1/0048/2912/products/route-insurance-route-package-protection-28617463365694.png?v=1630006236
5,Route Package Protection,routeins,2021-08-26T14:26:09-05:00,Insurance,1.35,ROUTEINS,True,https://cdn.shopify.com/s/files/1/0048/2912/products/route-insurance-route-package-protection-28617463365694.png?v=1630006236
6,Route Package Protection,routeins,2021-08-26T14:26:09-05:00,Insurance,1.55,ROUTEINS,True,https://cdn.shopify.com/s/files/1/0048/2912/products/route-insurance-route-package-protection-28617463365694.png?v=1630006236
7,Route Package Protection,routeins,2021-08-26T14:26:09-05:00,Insurance,1.75,ROUTEINS,True,https://cdn.shopify.com/s/files/1/0048/2912/products/route-insurance-route-package-protection-28617463365694.png?v=1630006236
8,Route Package Protection,routeins,2021-08-26T14:26:09-05:00,Insurance,1.95,ROUTEINS,True,https://cdn.shopify.com/s/files/1/0048/2912/products/route-insurance-route-package-protection-28617463365694.png?v=1630006236
9,Route Package Protection,routeins,2021-08-26T14:26:09-05:00,Insurance,2.15,ROUTEINS,True,https://cdn.shopify.com/s/files/1/0048/2912/products/route-insurance-route-package-protection-28617463365694.png?v=1630006236
